original_aspect,expanded_aspects
mozzarella sticks,"cheese sticks, mozzarella sticks"
chicken and falafel platters,"chicken, platter, chicken platter, falafel platter, chicken and falafel platter, chicken and falafel platters"
fresh leaf salad,"spinach, kale, arugula, fresh leaf salad"
focacchia bread,"focaccia, focaccia bread, focacchia bread"
pialla,"pizza, pie, pizza pie, pizza slice, pizza crust, pialla"
fresh salsa,"salsa, salsa bar, fresh salsa"
new menu,"new menu, new dishes, new items, new food, new cuisine"
greek food,"greek, greek food, greek cuisine, greek restaurant, greek food restaurant"
shepherds pie,shepherds pie
portabella lasagna,"portabella, lasagna, mushroom, vegetarian, vegan, portabella lasagna"
pub fare,"pub food, pub grub, pub grub food, pub grub fare, pub grub menu, pub fare"
vegan cranberry pancakes,"vegan, cranberry, vegan pancakes, vegan cranberry pancakes"
rice milk,rice milk
creamy appetizers,"creamy, appetizers, creamy appetizers, creamy appetizer"
warm pitas,"toasty, crispy, warm pitas"
taramasalata,"taramas, taramasalata, taramas dip, taramas spread, taramas paste"
eggplant salad,"eggplant, salad, eggplant salad, eggplant dish, eggplant dish with salad"
"greek yogurt (with cuccumber, dill, and garlic)","yogurt, greek yogurt, greek yogurt (with cuccumber, dill, and garlic), greek yogurt (with cuccumber, dill, and garlic)"
